Taxonomy,MetabolicCategory,FeedingType,Environment,FeedingMode,TrophicLevel,BodyWeight,Mobility
"Actinocyclus actinochilus","Primary producer",None,pelagic,None,1,4.06e-11,1
"Actinocyclus spiritus","Primary producer",None,pelagic,None,1,1.64e-11,1
"Actinocyclus utricularis","Primary producer",None,pelagic,None,1,4.01e-12,1
"Azpeitia tabularis","Primary producer",None,pelagic,None,1,1.14e-11,1
"Banquisia belgicae","Primary producer",None,pelagic,None,1,4.01e-12,1
"Chaetoceros bulbosum","Primary producer",None,pelagic,None,1,6.04e-13,1
"Chaetoceros concavicornis","Primary producer",None,pelagic,None,1,4.01e-12,1
"Chaetoceros criophilum","Primary producer",None,pelagic,None,1,4.01e-12,1
"Chaetoceros dichaeta","Primary producer",None,pelagic,None,1,6.04e-13,1
"Chaetoceros flexuosum","Primary producer",None,pelagic,None,1,1.67e-12,1
"Chaetoceros neglectum","Primary producer",None,pelagic,None,1,9.11e-14,1
"Chaetoceros pelagicus","Primary producer",None,pelagic,None,1,6.04e-13,1
"Chaetoceros socialis","Primary producer",None,pelagic,None,1,1.71e-13,1
"Corethron criophilum","Primary producer",None,pelagic,None,1,4.01e-12,1
"Coscinodiscus oculoides","Primary producer",None,pelagic,None,1,1.59e-09,1
"Cylindrotheca closterium","Primary producer",None,pelagic,None,1,4.89e-11,1
"Eucampia antarctica","Primary producer",None,pelagic,None,1,7.29e-12,1
"Fragilariopsis curta","Primary producer",None,pelagic,None,1,9.11e-14,1
"Fragilariopsis cylindrus","Primary producer",None,pelagic,None,1,1.53e-14,1
"Fragilariopsis kerguelensis","Primary producer",None,pelagic,None,1,3.29e-13,1
"Fragilariopsis linearis","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis nana","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis obliquecostata","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis pseudonana","Primary producer",None,pelagic,None,1,9.11e-14,1
"Fragilariopsis rhombica","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis ritscheri","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis separanda","Primary producer",None,pelagic,None,1,6.04e-13,1
"Fragilariopsis sublinearis","Primary producer",None,pelagic,None,1,1.5e-13,1
"Fragilariopsis vanheurckii","Primary producer",None,pelagic,None,1,9.11e-14,1
"Manguinea fusiformis","Primary producer",None,pelagic,None,1,1.97e-10,1
"Manguinea rigida","Primary producer",None,pelagic,None,1,9.1e-12,1
"Navicula glaciei","Primary producer",None,pelagic,None,1,2.26e-14,1
"Navicula schefterae","Primary producer",None,pelagic,None,1,2.26e-14,1
"Nitzschia kerguelensis","Primary producer",None,pelagic,None,1,5.73e-12,1
"Nitzschia lecointei","Primary producer",None,pelagic,None,1,4.63e-11,1
"Nitzschia neglecta","Primary producer",None,pelagic,None,1,9.11e-14,1
"Odontella weissflogii","Primary producer",None,pelagic,None,1,5.73e-12,1
"Porosira glacialis","Primary producer",None,pelagic,None,1,2.94e-11,1
"Porosira pseudodenticulata","Primary producer",None,pelagic,None,1,9.81e-11,1
"Proboscia alata","Primary producer",None,pelagic,None,1,1.51e-12,1
"Proboscia inermi","Primary producer",None,pelagic,None,1,9.94e-13,1
"Proboscia truncata","Primary producer",None,pelagic,None,1,1.21e-11,1
"Pseudo-Nitzschia heimii","Primary producer",None,pelagic,None,1,1.77e-10,1
"Pseudo-Nitzschia liniola","Primary producer",None,pelagic,None,1,8.13e-10,1
"Pseudo-Nitzschia prolongatoides","Primary producer",None,pelagic,None,1,3.74e-12,1
"Pseudo-Nitzschia subcurvata","Primary producer",None,pelagic,None,1,2.22e-10,1
"Rhizosolenia antennata","Primary producer",None,pelagic,None,1,7.78e-12,1
"Stellarima microtrias","Primary producer",None,pelagic,None,1,1.01e-10,1
"Thalassiosira antarctica","Primary producer",None,pelagic,None,1,1.14e-11,1
"Thalassiosira australis","Primary producer",None,pelagic,None,1,2.57e-12,1
"Thalassiosira frenguelliopsis","Primary producer",None,pelagic,None,1,3.54e-12,1
"Thalassiosira gracilis","Primary producer",None,pelagic,None,1,2.57e-12,1
"Thalassiosira gracilis expecta","Primary producer",None,pelagic,None,1,1.92e-11,1
"Thalassiosira gravida","Primary producer",None,pelagic,None,1,5.2e-12,1
"Thalassiosira lentiginosa","Primary producer",None,pelagic,None,1,6.35e-11,1
"Thalassiosira ritscheri","Primary producer",None,pelagic,None,1,6.44e-11,1
"Thalassiosira trifulta","Primary producer",None,pelagic,None,1,5.87e-12,1
"Thalassiosira tumida","Primary producer",None,pelagic,None,1,6.54e-11,1
"Trichotoxon reinboldii","Primary producer",None,pelagic,None,1,2.71e-13,1
"Dictyocha speculum","Primary producer",None,pelagic,None,1,6.98e-12,1
"Phaeocystis antarctica","Primary producer",None,pelagic,None,1,1.24e-13,1
Silicioflagellata,"Primary producer",None,pelagic,None,1,3.44e-14,1
"Bodo saltans","Primary producer",None,pelagic,None,1,2.28e-13,1
"Amphidinium hadai",Invertebrate,omnivorous,pelagic,predator,2,4e-12,4
"Gyrodinium lachryama",Invertebrate,omnivorous,pelagic,predator,2,1.2e-10,4
"Parvicorbucula socialis",Invertebrate,herbivorous/detrivorous,pelagic,suspension-feeder,2.5,3.3e-13,4
"Cassidulinoides parkerianus",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1.2e-09,1
"Cibicides refulgens",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1.2e-09,1
"Globocassidulina crassa",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1.2e-09,1
"Lenticulina antarctica",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1.2e-09,1
"Neogloboquadriana pachyderma",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,1.2e-09,1
"Euphausia crystallorophias",Invertebrate,omnivorous,pelagic,"pelagic predator",2.06,1.2,4
"Euphausia frigida",Invertebrate,omnivorous,pelagic,"pelagic predator",2.28,0.17,4
"Thysanoessa macrura",Invertebrate,omnivorous,pelagic,"pelagic predator",2.43,0.15,4
"Euphausia superba",Invertebrate,omnivorous,pelagic,"pelagic predator",2.28,5.5,4
"Ampelisca richardsoni",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2,0.81,3
"Abyssorchomene rossi",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.46,1.9,3
"Abyssorchomene plebs",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.08,0.47,3
"Abyssorchomene nodimanus",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.97,0.24,3
"Eusirus antarcticus",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.1,0.14,3
"Eusirus perdentatus",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.67,19,3
"Alexandrella mixta",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.84,1.3,3
"Tryphosella murrayi",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.89,1.3,3
"Waldeckia obesa",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.37,1.3,3
"Parschisturella ceruviata",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2,0.32,3
"Paramoera walkeri",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.84,0.73,3
"Epimeriella walkeri",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.84,0.73,3
"Cyllopus lucasii",Invertebrate,omnivorous,pelagic,predator,2.4,0.32,4
"Hyperiella dilatata",Invertebrate,omnivorous,pelagic,predator,2.13,0.0057,4
"Vibilia antarctica",Invertebrate,omnivorous,pelagic,predator,3.68,0.00011,4
"Vibilia stebbingi",Invertebrate,omnivorous,pelagic,predator,3.68,0.00011,4
"Hyperia macrocephala",Invertebrate,omnivorous,pelagic,predator,4.69,0.42,4
"Epimeria similis",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.5,3.7,3
"Epimeria robusta",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.57,1.9,3
"Epimeria macrodonta",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.69,1.3,3
"Epimeria rubrieques",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.57,10,3
"Epimeria georgiana",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.56,1.9,3
"Melphidippa antarctica",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.06,0.47,3
"Oediceroides emarginatus",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.69,6.4,3
"Oediceroides calmani",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.7,0.81,3
"Maxilliphimedia longipes",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.37,0.81,3
"Gnathiphimedia mandibularis",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3,3.7,3
"Echiniphimedia hodgsoni",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.97,1.9,3
"Iphimediella  cyclogena",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.07,0.81,3
"Paraceradocus gibber",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.75,6.4,3
"Liljeborgia georgiana",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.44,0.59,3
"Momoculodes scabriculosus",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2,0.47,3
"Uristes gigas",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.83,0.59,3
"Eurythenes gryllus",Invertebrate,omnivorous,benthopelagic,predator/scavenger,3.4,50,3
"Bathypanoploea schellenbergi",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.88,3.7,3
"Pseudorchomene coatsi",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2,0.47,3
"Heterophoxus videns",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.46,0.031,3
"Haplocheira plumosa",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.06,0.031,3
"Oradarea edentata",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.06,0.031,3
"Djerboa furcipes",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.06,0.031,3
"Rhachotropis antarctica",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.9,0.18,3
"Themisto gaudichaudii",Invertebrate,carnivorous,pelagic,predator,3.68,0.12,3
"Primno macropa",Invertebrate,carnivorous,pelagic,predator,3.68,0.24,3
"Notocrangon antarcticus",Invertebrate,omnivorous,benthic,predator,2.87,0.37,3
"Chorismus antarcticus",Invertebrate,omnivorous,benthic,predator,3.14,0.21,3
"Nematocarcinus lanceopes",Invertebrate,omnivorous,benthic,predator,2.41,1.2,3
"Rhincalanus gigas",Invertebrate,omnivorous,pelagic,predator,2.06,0.02,4
"Calanus propinquus",Invertebrate,omnivorous,pelagic,predator,2.08,0.0057,4
"Calanoides acutus",Invertebrate,omnivorous,pelagic,predator,2.11,0.0055,4
"Metridia gerlachei",Invertebrate,omnivorous,pelagic,predator,2.1,0.0023,4
"Paraeuchaeta antarctica",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.18,0.0081,4
"Eucopia australis",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.39,4.7,4
"Euchaetomera antarcticus",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.39,0.084,4
"Antarctomysis maxima",Invertebrate,omnivorous,benthopelagic,predator/scavenger,2.39,13,4
"Ceratoserolis meridionalis",Invertebrate,carnivorous,benthic,predator/scavenger,3.89,15,2
"Frontoserolis bouvieri",Invertebrate,carnivorous,benthic,predator/scavenger,3.89,15,2
"Natatolana obtusata",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.031,3
"Natatolana oculata",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.031,3
"Natatolana meridionalis",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.031,3
"Munna globicauda",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.0052,3
"Serolella bouveri",Invertebrate,carnivorous,benthic,predator/scavenger,3.89,0.1,2
"Serolis polita",Invertebrate,carnivorous,benthic,predator/scavenger,3.89,0.1,2
"Gnathia calva",Invertebrate,carnivorous,benthic,predator/scavenger,3.68,0.016,3
"Glyptonotus antarcticus",Invertebrate,carnivorous,benthic,predator/scavenger,3.83,50,3
"Austrosignum grande",Invertebrate,detrivorous,benthic,deposit-feeder,2,50,3
"Aega antarctica",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.59,3
Arcturidae,Invertebrate,detrivorous,benthic,deposit-feeder,2,1.3,3
"Conchoecia hettacra",Invertebrate,carnivorous,benthic,suspension-feeder,3.42,0.00044,3
"Alacia hettacra",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.06,0.00044,3
"Alacia belgicae",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.06,0.00044,3
"Metaconchoecia isocheira",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.06,0.00044,3
"Boroecia antipoda",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.06,0.00044,3
"Conchoecia antipoda",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.34,0.00044,3
"Nototanais antarcticus",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.1,3
"Peraeospinosus pushkini",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.36,0.1,3
"Nototanais dimorphus",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.1,3
"Eudorella splendida",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.053,3
"Vaunthompsonia indermis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.053,3
"Camylaspis maculata",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.053,3
"Diastylis mawsoni",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.053,3
"Ekleptostylis debroyeri",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.053,3
"Pentanymphon antarcticum",Invertebrate,carnivorous,benthic,predator/scavenger,3.85,0.00034,2
"Ammothea carolinensis",Invertebrate,carnivorous,benthic,predator/scavenger,3.9,0.17,2
"Colossendeis scotti",Invertebrate,carnivorous,benthic,predator/scavenger,3.9,3.7,2
"Nymphon gracillimum",Invertebrate,carnivorous,benthic,predator/scavenger,3.9,0.2,2
"Pelagobia longicirrata",Invertebrate,omnivorous,pelagic,predator,2.12,0.0019,2
"Rhynchonereella bongraini",Invertebrate,omnivorous,benthic,predator/scavenger,2.12,0.0019,2
"Laetmonice producta",Invertebrate,omnivorous,benthic,predator/scavenger,3.86,110,2
"Harmothoe spinosa",Invertebrate,omnivorous,benthic,predator/scavenger,3.65,6.1,2
"Harmothoe crosetensis",Invertebrate,omnivorous,benthic,predator/scavenger,3.67,5.8,2
"Harmotoe hartmanae",Invertebrate,omnivorous,benthic,predator/scavenger,3.68,5.8,2
"Polyeunoa laevis",Invertebrate,omnivorous,benthic,predator/scavenger,3.82,15,2
"Barrukia cristata",Invertebrate,omnivorous,benthic,predator/scavenger,3.57,3.9,2
"Eulagisca gigantea",Invertebrate,omnivorous,benthic,predator/scavenger,3.77,200,2
"Eunoe spica",Invertebrate,omnivorous,benthic,predator/scavenger,3.91,4.2,2
"Eunoe hartmanae",Invertebrate,omnivorous,benthic,predator/scavenger,3.76,57,2
"Eunoe spica spicoides",Invertebrate,omnivorous,benthic,predator/scavenger,3.82,7.1,2
"Vanadis antarctica",Invertebrate,omnivorous,benthic,predator/scavenger,2.37,0.0039,2
"Pista spinifera",Invertebrate,omnivorous,benthic,predator/scavenger,2,0.24,2
"Phyllocomus crocea",Invertebrate,omnivorous,benthic,predator/scavenger,2,0.47,2
"Terebella ehlersi",Invertebrate,omnivorous,benthic,predator/scavenger,2,0.24,2
"Eucranta mollis",Invertebrate,omnivorous,benthic,predator/scavenger,2,4.7,2
"Promachocrinus kerguelensis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,98,3
"Anthometra adriani",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,98,3
"Acodontaster conspicuus",Invertebrate,omnivorous,benthic,predator/scavenger,3,3.3,2
"Acodontaster capitatus",Invertebrate,omnivorous,benthic,predator/scavenger,3,5.4,2
"Acodontaster hodgsoni",Invertebrate,omnivorous,benthic,predator/scavenger,3,3.9,2
"Bathybiaster loripes",Invertebrate,omnivorous,benthic,predator/scavenger,2.67,7.9,2
"Cuenotaster involutus",Invertebrate,omnivorous,benthic,predator/scavenger,2,17,2
"Diplasterias brucei",Invertebrate,omnivorous,benthic,predator/scavenger,3.84,2.8,2
"Luidiaster gerlachei",Invertebrate,omnivorous,benthic,predator/scavenger,3.77,0.11,2
"Labidiaster annulatus",Invertebrate,omnivorous,benthic,predator/scavenger,3.9,86,2
"Lophaster gaini",Invertebrate,omnivorous,benthic,predator/scavenger,3,5.3,2
"Notasterias armata",Invertebrate,omnivorous,benthic,predator/scavenger,3,1.1,2
"Solaster dawsoni",Invertebrate,omnivorous,benthic,predator/scavenger,3.69,0.75,2
"Odontaster meridionalis",Invertebrate,omnivorous,benthic,predator/scavenger,2.97,0.084,2
"Odontaster validus",Invertebrate,omnivorous,benthic,predator/scavenger,3.29,0.57,2
"Kampylaster incurvatus",Invertebrate,omnivorous,benthic,predator/scavenger,2,0.061,2
"Cycethra verrucosa mawsoni",Invertebrate,omnivorous,benthic,predator/scavenger,2,0.57,2
"Notasterias stylophora",Invertebrate,omnivorous,benthic,predator/scavenger,3,1.9,2
"Notioceramus anomalus",Invertebrate,omnivorous,benthic,predator/scavenger,2,0.46,2
"Perknaster sladeni",Invertebrate,omnivorous,benthic,predator/scavenger,2,0.35,2
"Pteraster affinis aculeatus",Invertebrate,omnivorous,benthic,predator/scavenger,3,0.31,2
"Perknaster densus",Invertebrate,omnivorous,benthic,predator/scavenger,2,0.78,2
"Perknaster fuscus antarcticus",Invertebrate,omnivorous,benthic,predator/scavenger,2.67,9.8,2
"Macroptychaster accrescens",Invertebrate,omnivorous,benthic,predator/scavenger,3.8,15,2
"Lysasterias perrieri",Invertebrate,omnivorous,benthic,predator/scavenger,3.47,3.9,2
"Psilaster charcoti",Invertebrate,omnivorous,benthic,predator/scavenger,4.41,15,2
"Porania antarctica",Invertebrate,omnivorous,benthic,predator/scavenger,2.12,0.073,2
"Porania antarctica glabra",Invertebrate,omnivorous,benthic,predator/scavenger,2.12,0.32,2
"Ophioperla koehleri",Invertebrate,omnivorous,benthic,predator/scavenger,2,1.9,2
"Ophionotus victoriae",Invertebrate,omnivorous,benthic,predator/scavenger,2.97,1.9,2
"Ophioceres incipiens",Invertebrate,omnivorous,benthic,predator/scavenger,2.69,0.041,2
"Ophiurolepis brevirima",Invertebrate,omnivorous,benthic,predator/scavenger,3,0.42,2
"Ophiurolepis gelida",Invertebrate,omnivorous,benthic,predator/scavenger,2.98,0.28,2
"Ophiosparte gigas",Invertebrate,omnivorous,benthic,predator/scavenger,3.44,7.5,2
"Ophioperla ludwigi",Invertebrate,omnivorous,benthic,predator/scavenger,3.38,1.6,2
"Ophiacantha antarctica",Invertebrate,omnivorous,benthic,predator/scavenger,2.15,0.067,2
"Astrotoma agassizii",Invertebrate,omnivorous,benthic,predator/scavenger,2.87,4.2,2
"Astrochlamys bruneus",Invertebrate,omnivorous,benthic,predator/scavenger,3.66,1.6,2
"Gorgonocephalus chiliensis",Invertebrate,omnivorous,benthic,predator/scavenger,3.1,2.7,2
"Sterechinus neumayeri",Invertebrate,omnivorous,benthic,predator/scavenger,2.67,2.9,2
"Sterechinus antarcticus",Invertebrate,omnivorous,benthic,predator/scavenger,2.47,8.5,2
"Ctenocidaris gigantea",Invertebrate,omnivorous,benthic,predator/scavenger,3.26,16,2
"Ctenocidaris spinosa",Invertebrate,omnivorous,benthic,predator/scavenger,3.24,3.1,2
"Notocidaris mortenseni",Invertebrate,omnivorous,benthic,predator/scavenger,3.01,3.5,2
"Abatus curvidens",Invertebrate,detrivorous,benthic,deposit-feeder,2,1.4,2
"Abatus cavernosus",Invertebrate,detrivorous,benthic,deposit-feeder,2,2.7,2
"Abatus nimrodi",Invertebrate,detrivorous,benthic,deposit-feeder,2,3.7,2
"Abatus shackeltoni",Invertebrate,detrivorous,benthic,deposit-feeder,2,1.9,2
"Austrocidaris canaliculata",Invertebrate,carnivorous,benthic,predator/scavenger,3.78,0.89,2
"Aporocidaris milleri",Invertebrate,carnivorous,benthic,predator/scavenger,3.3,2.7,2
"Ctenocidaris perrieri",Invertebrate,carnivorous,benthic,predator/scavenger,3.26,15,2
"Ctenocidaris gilberti",Invertebrate,omnivorous,benthic,predator/scavenger,3,16,2
"Mesothuria lactea",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.066,2
"Achlyonice violaecuspidata",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.15,2
"Bathyplotes gourdoni",Invertebrate,detrivorous,benthic,deposit-feeder,2,4.8,2
"Bathyplotes bongraini",Invertebrate,detrivorous,benthic,deposit-feeder,2,4.8,2
"Scotoplanes globosa",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.024,2
"Molpadia musculus",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.3,2
"Ypsilocucumis turricata",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.69,2
"Psolidium incertum",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.043,2
"Trachythyone parva",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.043,2
"Laetmogone wyvillethompsoni",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.01,2
"Pseudostichopus mollis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.043,2
"Pseudostichopus villosus",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.043,2
"Elpidia glacialis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,0.01,2
"Chiridota weddellensis",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.3,2
"Ekmocucumis steineni",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.3,2
"Ekmocucumis turqueti",Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,2.3,2
"Abyssocucumis liouvillei",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.15,2
"Psolus dubiosus",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.085,2
"Psolus charcoti",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.062,2
"Psolus antarcticus",Invertebrate,detrivorous,benthic,deposit-feeder,2,0.085,2
